key,en,de,ro
meta_description,"Professional technical translations from German and English into Romanian by Monica Vlad. 10 years of experience, over 3 million words translated.","Professionelle technische Übersetzungen aus dem Deutschen und Englischen ins Rumänische von Monica Vlad. 10 Jahre Erfahrung, über 3 Millionen übersetzte Wörter.","Traduceri tehnice profesionale din germană și engleză în română de Monica Vlad. 10 ani de experiență, peste 3 milioane de cuvinte traduse."
meta_title,"Linguistic Guide - Technical translations from German and English into Romanian","Linguistic Guide - Technische Übersetzungen aus dem Deutschen und Englischen ins Rumänische","Linguistic Guide - Traduceri tehnice din germană și engleză în română"
skip_to_main,"Skip to main content","Zum Hauptinhalt springen","Salt la conținutul principal"
nav_about,About,Über mich,Despre
nav_services,Services,Dienstleistungen,Servicii
nav_experience,Experience,Erfahrung,Experiență
nav_contact,Contact,Kontakt,Contact
hero_title_line1,Monica Vlad,Monica Vlad,Monica Vlad
hero_title_line2,Technical Translation Expert,Expertin für technische Übersetzung,Expert în traduceri tehnice
hero_description,"10 years of experience and over 3 million words translated and revised. Precision-engineered Romanian translations for German and English technical documentation.","10 Jahre Erfahrung und über 3 Millionen übersetzte und revidierte Wörter. Präzisionsgefertigte rumänische Übersetzungen für deutsche und englische technische Dokumentation.","10 ani de experiență și peste 3 milioane de cuvinte traduse și revizuite. Traduceri în limba română de înaltă precizie pentru documentație tehnică din germană și engleză."
hero_cta_work,Discover My Work,Entdecken Sie meine Arbeit,Descoperă activitatea mea
hero_cta_start,Get Started,Jetzt loslegen,Începe acum
trust_label,Trusted by teams in,Vertraut von Teams in,Apreciat de echipe din
trust_logo_automotive,Automotive OEM,Automobil-OEM,OEM Auto
trust_logo_industrial,Industrial Tech,Industrietechnik,Tehnologie Industrială
trust_logo_engineering,Engineering Firms,Ingenieurbüros,Firme de Inginerie
trust_logo_saas,B2B SaaS,B2B SaaS,B2B SaaS
about_exp_text,Years of Excellence,Jahre Exzellenz,Ani de excelență
about_subtitle,Set Out To Deliver Best Quality,Angetreten um beste Qualität zu liefern,Angajamentul pentru cea mai înaltă calitate
about_title,Expert Technical Translation,Experte für technische Übersetzung,Experiență în traduceri tehnice
about_description1,"I am a certified translator and proofreader, with a focus on accuracy and attention to detail, with credentials and relevant experience.","Ich bin zertifizierte Übersetzerin und Korrektorin mit Fokus auf Genauigkeit und Liebe zum Detail, mit entsprechenden Qualifikationen und relevanter Erfahrung.","Sunt traducător și corector autorizat, cu accent pe acuratețe și atenție la detalii, având calificările și experiența relevantă."
about_description2,"Linguistic Guide stands for a small team, a linguist, an engineer and a few collaborators set out to perform outstanding translation services for those industries where technical understanding of the subject matter is crucial.","Linguistic Guide steht für ein kleines Team, eine Linguistin, einen Ingenieur und einige Mitarbeiter, die angetreten sind, um herausragende Übersetzungsdienstleistungen für jene Branchen zu erbringen, in denen technisches Verständnis der Materie entscheidend ist.","Linguistic Guide reprezintă o echipă mică, un lingvist, un inginer și câțiva colaboratori dedicați prestării unor servicii de traducere remarcabile pentru acele industrii în care înțelegerea tehnică a subiectului este crucială."
stat_words,Words Translated,Übersetzte Wörter,Cuvinte traduse
stat_pairs,Language Pairs,Sprachpaare,Perechi de limbi
feature_speciality_title,Speciality fields,Fachgebiete,Domenii de specialitate
feature_speciality_desc,"Operating instructions, requirements specifications, user manuals, software texts, declarations of conformity, standards, EU regulations and directives.","Betriebsanleitungen, Anforderungs-spezifikationen, Benutzerhandbücher, Softwaretexte, Konformitätserklärungen, Normen, EU-Verordnungen und Richtlinien.","Instrucțiuni de utilizare, specificații de cerințe, manuale de utilizare, texte software, declarații de conformitate, standarde, regulamente și directive UE."
feature_quality_title,Quality assurance,Qualitätssicherung,Asigurarea calității
feature_quality_desc,Rigorous checks with industry-leading CAT tools:,Strenge Prüfungen mit branchenführenden CAT-Tools:,Verificări riguroase cu instrumente CAT de top:
feature_quality_item1,memoQ & SDL Trados Studio,memoQ & SDL Trados Studio,memoQ & SDL Trados Studio
feature_quality_item2,Terminology management,Terminologiemanagement,Managementul terminologiei
feature_quality_item3,Native proofreading,Muttersprachliches Korrekturlesen,Corectură nativă
feature_industry_title,Industry Background,Branchenhintergrund,Experiență în domeniu
feature_industry_item1,2007 – 2016 Linguistic Guide reviser,2007 – 2016 Linguistic Guide Revisorin,2007 – 2016 Revisor Linguistic Guide
feature_industry_item2,2008 – 2016 Continental Automotive senior translator,2008 – 2016 Continental Automotive Senior-Übersetzerin,2008 – 2016 Traducător senior Continental Automotive
expertise_title,Language Expertise,Sprachkompetenz,Expertiză lingvistică
expertise_pair1_heading,DE/EN to Romanian,DE/EN ins Rumänische,DE/EN în română
